UniqueID,TrackID,Timestamp,Geopos,Accdata
4,1,1569744872.8960252,"[55.554487922301895, 37.10119062556312]","[6.107513300880807, 2.4796209292807214, 8.271406407936615]"
5,1,1569744872.8960252,"[55.55846594425682, 37.11265830868484]","[16.296589093279007, 6.025848771372189, 12.121543997933024]"
2,2,1569744872.8960252,"[55.540133183300284, 37.0598093561697]","[11.620758249344929, 12.27465562073977, 8.440410332788705]"
2,1,1569744872.8960252,"[55.57870890548422, 37.17101391039419]","[17.102250397211428, 1.118922847788859, 18.173324621995036]"
4,2,1569744872.8960252,"[55.57665491663921, 37.16509275322605]","[3.79133288876377, 4.362070827881692, 5.956305608779213]"
1,1,1569744872.8960252,"[55.63691979718604, 37.33882194861586]","[13.909057813519146, 13.281180113846068, 14.286767674025455]"
1,3,1569744872.8960252,"[55.57732592271526, 37.16702710279709]","[11.615533457711047, 12.178414505895763, 14.559695828233625]"
3,1,1569744872.8960252,"[55.61833020631401, 37.28523261705885]","[10.676567169794964, 15.399125159819606, 16.935722044404415]"
1,1,1569744872.8960252,"[55.6454243273754, 37.3633384692421]","[14.192770212072638, 3.6500248956733006, 7.554041266261196]"
1,1,1569744872.8960252,"[55.65583108018935, 37.39333864142432]","[8.483199605685384, 17.735940645156717, 1.7499346784099856]"
4,1,1569744872.8960252,"[55.52330727263872, 37.011304291621556]","[13.019809208552696, 14.208516022842034, 10.485850893859421]"
4,1,1569744872.8960252,"[55.567508009885834, 37.13872441504963]","[8.99005979930976, 2.1387402860481997, 14.066592103190683]"
2,3,1569744872.8960252,"[55.56218221600496, 37.1233714287439]","[0.38084189926667733, 16.67584419970047, 5.41610881362894]"
1,2,1569744872.8960252,"[55.667076355957754, 37.425756074155316]","[4.245221650344522, 2.299377346949818, 6.8089318997144215]"
1,2,1569744872.897023,"[55.58478459636678, 37.18852866988555]","[9.460136669153503, 15.72338098415164, 7.741297637310334]"
5,2,1569744872.897023,"[55.5313262629349, 37.034421117200175]","[18.415079884040903, 0.003115154104109674, 17.011635752906123]"
5,2,1569744872.897023,"[55.58463377897749, 37.188093899526436]","[10.415592537611033, 16.72606503781949, 19.633167256788603]"
4,2,1569744872.897023,"[55.63769820969609, 37.34106592517081]","[0.5110775526708489, 5.755257194315182, 15.650660691248238]"
1,1,1569744872.897023,"[55.6008133654636, 37.23473576650447]","[1.1855553818434639, 15.574874199730505, 11.197982644307132]"
5,3,1569744872.897023,"[55.66071478416149, 37.407417188564004]","[15.972850587193165, 16.590644320705326, 13.425613476891327]"
2,2,1569744872.897023,"[55.64158345367164, 37.35226615163243]","[8.192311349709415, 1.9376180046293046, 1.2837422083131722]"
1,2,1569744872.897023,"[55.66625878414054, 37.42339921071087]","[15.089703994532933, 18.531942824052823, 1.2818222746192842]"
4,2,1569744872.897023,"[55.542789243362854, 37.06746614024533]","[19.105616160097746, 17.911319872082657, 3.544172766971496]"
5,2,1569744872.897023,"[55.660173086531906, 37.405855604229764]","[13.102011057219736, 10.606189138696022, 9.207828919428174]"
3,2,1569744872.897023,"[55.5279583838323, 37.02471232956987]","[7.257207001779813, 11.512222755350816, 12.736545387622758]"
2,1,1569744872.897023,"[55.64817056682725, 37.3712552188637]","[16.883571386702013, 5.203900837959337, 1.1960072997181337]"
1,1,1569744872.897023,"[55.55968200917954, 37.1161639321699]","[2.875205258047697, 17.406844251717143, 10.46387633619583]"
3,2,1569744872.897023,"[55.569074254417956, 37.14323952235273]","[9.597600944367201, 10.007547350668231, 1.5921773813385598]"
1,3,1569744872.897023,"[55.559703864328284, 37.11622693531993]","[0.05962654575155435, 9.08437625067446, 4.988417045893092]"
1,1,1569744872.897023,"[55.57890980971009, 37.17159306908892]","[10.11477572327962, 17.711926727213378, 3.7551523027588107]"
4,3,1569744872.8980231,"[55.661333894971754, 37.40920193652829]","[19.80325947889622, 17.178234452593813, 11.7446017132447]"
1,2,1569744872.8980231,"[55.58149603417898, 37.17904853389602]","[7.469900736052486, 14.309863574299035, 1.848681788755504]"
1,1,1569744872.8980231,"[55.57836442976109, 37.17002086950996]","[4.334015136561358, 14.605590158621393, 2.563128524527123]"
4,3,1569744872.8980231,"[55.584979898056474, 37.18909167781183]","[11.098079057392765, 5.236090217782408, 1.2689058763739003]"
3,1,1569744872.8980231,"[55.54516221109052, 37.07430683701898]","[12.150747848219964, 18.106759136828682, 12.54142087228166]"
3,2,1569744872.8980231,"[55.55794870381303, 37.11116722854984]","[7.2993431634747274, 7.536377843785143, 0.44561970854239297]"
2,3,1569744872.8980231,"[55.577702257168006, 37.16811198475642]","[4.227097168960894, 0.5829370897832953, 7.8715087531303585]"
5,1,1569744872.8980231,"[55.62544344621926, 37.30573838151351]","[12.091938379151594, 9.66544214739132, 18.935539865752787]"
3,1,1569744872.8980231,"[55.636920053706106, 37.338822688101544]","[10.482046424360185, 8.11695224778038, 0.9970994390732213]"
5,3,1569744872.8980231,"[55.623628665350566, 37.30050680356609]","[12.445152028636489, 16.01646824166677, 9.083138175513515]"
1,1,1569744872.8980231,"[55.626757573427795, 37.30952669504744]","[18.40559973731103, 11.97294043678429, 4.496320771739066]"
2,3,1569744872.8980231,"[55.648092576111864, 37.37103039033776]","[2.8416653443382356, 6.939503963411536, 17.12196485875088]"
2,1,1569744872.8980231,"[55.535041967341456, 37.04513260175001]","[3.8994667197222666, 15.178529222030146, 5.251154597025365]"
3,3,1569744872.8980231,"[55.565306980728636, 37.132379375929695]","[11.666133378483899, 1.0733100103317605, 13.98999969173188]"
4,2,1569744872.8980231,"[55.539985365905125, 37.05938323407718]","[0.6044266486277117, 13.605415554930318, 1.9334613353240426]"
3,2,1569744872.8980231,"[55.654628400439094, 37.38987160418105]","[2.442804210848246, 2.078063476679144, 16.28258756398619]"
3,2,1569744872.8990226,"[55.56686899402671, 37.136882285602304]","[6.855045820287389, 5.68939788490578, 14.720123097447251]"
5,2,1569744872.8990226,"[55.58491942397218, 37.188917345529674]","[1.4214056052884838, 3.024646720639237, 16.820723816336557]"
