UniqueID,TrackID,Timestamp,Geopos,Accdata
5,2,1569701374.824753,"[12.135261633890146, 8.02523581386313]","[11.538117126246208, 9.452726551811207, 14.926102375378068]"
2,1,1569701374.824753,"[15.291510318987049, 5.462701246185874]","[10.375999344805983, 5.9849979997284635, 6.864554401590306]"
4,2,1569701374.824753,"[16.087041126408913, 18.168008255421093]","[6.818043040637365, 0.2187825106739405, 18.522415531473]"
4,3,1569701374.824753,"[4.284989641255597, 11.221205584034825]","[14.834288037327848, 0.3580209330035622, 1.6932916856642155]"
4,3,1569701374.824753,"[15.238204040987922, 8.548327828707105]","[15.47903392442942, 18.245752139278203, 0.7060350404391524]"
1,2,1569701374.824753,"[12.904245715194445, 16.708589432587083]","[9.018059822226604, 12.860135544101547, 3.136073332092626]"
5,2,1569701374.824753,"[4.30622153151756, 18.02922553885236]","[1.3192517654647706, 18.73633077723965, 5.251122536175643]"
2,1,1569701374.824753,"[2.8036473625300973, 19.35822805739955]","[16.377317296988853, 2.4030871625983607, 14.110823079680866]"
4,2,1569701374.824753,"[0.8896574469172336, 16.715129843517076]","[17.69160959040746, 17.809288192901292, 4.060217027894413]"
4,3,1569701374.824753,"[19.803066800045716, 2.5319967520461284]","[16.637671576006568, 9.56103632231321, 18.91603072369162]"
5,2,1569701374.824753,"[13.3480261794788, 11.730212310702612]","[13.44907738108639, 18.078793465468046, 11.633878713519778]"
2,3,1569701374.824753,"[16.87122079974358, 9.762557519601893]","[17.21625002239494, 14.086774428764588, 4.182017044648534]"
5,2,1569701374.824753,"[9.526233842528846, 11.50967236274035]","[17.51854766913588, 6.733075048311326, 14.332583722613299]"
3,2,1569701374.824753,"[17.995363579844394, 13.522248663949629]","[12.468888355177457, 12.984066933075958, 6.679833866017133]"
2,1,1569701374.824753,"[17.681915718342548, 18.20332790812733]","[19.863377541953962, 11.480578831086788, 9.20458848995462]"
4,3,1569701374.824753,"[7.899619048132804, 19.76269991453401]","[15.445711229345921, 12.773272607583566, 3.7452041464915675]"
1,2,1569701374.824753,"[2.8285984165947364, 2.1401384784313637]","[16.819037861051367, 15.276419837703152, 15.172439587510134]"
3,3,1569701374.824753,"[13.901472403720959, 1.3981595967387705]","[14.20206570371347, 10.548554863064352, 2.6954183867194903]"
4,1,1569701374.824753,"[19.243814956744536, 14.946200989994969]","[7.3020120859378945, 18.027980305734715, 17.154972501153484]"
2,3,1569701374.824753,"[13.198689341702323, 4.334287513963244]","[7.295115361029556, 16.944027349882084, 7.471662077493988]"
3,3,1569701374.824753,"[5.774132945034955, 16.639859739524475]","[9.02822486075646, 6.109026139863096, 16.981141514563237]"
1,3,1569701374.824753,"[9.067991901711972, 15.91195175476691]","[13.597282938679651, 0.5954748046146996, 18.537512924340266]"
3,3,1569701374.824753,"[0.5226477682497355, 11.803990353351628]","[13.35867519789451, 18.81935558500671, 4.777988739055317]"
3,2,1569701374.824753,"[19.262419129335242, 15.2912508850506]","[13.10891764643168, 14.721642744330783, 13.986677209956335]"
4,1,1569701374.824753,"[4.002862424685478, 7.8054138109973685]","[2.960728825389607, 11.75852376022739, 14.972509599364008]"
2,1,1569701374.824753,"[2.7021935257995233, 7.2632084888510455]","[7.071108538589237, 8.363737101973424, 4.448411551569786]"
1,2,1569701374.824753,"[8.57158484161824, 3.344126238386964]","[16.81930895294597, 12.767142382575017, 5.7990818138223466]"
5,3,1569701374.824753,"[6.639990545800309, 14.138748885673351]","[5.372765755363142, 14.447250865942582, 0.3390930225616273]"
4,3,1569701374.824753,"[8.430570004305363, 13.093180109400427]","[4.416043989634664, 18.333548678521375, 13.793821971144517]"
3,1,1569701374.824753,"[11.255164521908721, 19.08088137515554]","[1.6508695479252822, 18.50195039348226, 9.9246095756558]"
4,2,1569701374.824753,"[14.707606492537257, 2.0292037416321618]","[13.303389826171134, 1.4189549592765438, 18.18418612924692]"
3,3,1569701374.824753,"[18.836427942932627, 19.50821024223987]","[12.776652753792373, 11.128077456493893, 5.3121058904795415]"
4,2,1569701374.824753,"[16.51778791835411, 16.495553961319683]","[0.26273646616019164, 13.759791230818127, 4.033989190649727]"
1,1,1569701374.824753,"[18.805614488708965, 14.652984976714624]","[5.576588580485316, 16.069343173376783, 15.342400486310234]"
4,3,1569701374.824753,"[11.014105434498543, 18.921650818771862]","[8.005963479983523, 7.781888230752729, 3.959681070721117]"
3,1,1569701374.824753,"[18.110974377390704, 4.792542901880226]","[8.492402715389396, 18.95529925142324, 14.708424108496878]"
5,2,1569701374.824753,"[19.029282578957137, 2.241212102574146]","[6.936126634430726, 6.626227523415866, 7.301545708568213]"
4,3,1569701374.824753,"[8.194798249932154, 15.457140985780383]","[11.132656289238483, 3.8564072861834298, 4.065635919557627]"
4,1,1569701374.824753,"[4.913465205404666, 8.71005519746532]","[11.69301804917804, 14.447344192119457, 5.452965232834406]"
1,1,1569701374.824753,"[2.063675349749994, 19.04704688148519]","[10.377172509448439, 8.623340625380413, 14.95626960920341]"
5,1,1569701374.824753,"[9.961499440309652, 1.9680590989619762]","[15.839541586454253, 16.062761316774836, 15.8282432090582]"
1,2,1569701374.824753,"[10.973094238409173, 16.89467447457617]","[1.2104469049104338, 12.149169272257883, 13.132269407740665]"
4,2,1569701374.824753,"[11.430124028474324, 4.400592547125077]","[0.6325637093589753, 8.69415580251296, 19.05458030209931]"
4,1,1569701374.824753,"[6.55813888995278, 16.08999742583892]","[12.371091151160043, 14.22351157044806, 5.942234046367851]"
3,1,1569701374.824753,"[3.585159497261583, 13.318807613513442]","[8.88224542129011, 10.684289529049554, 11.096565386788036]"
2,1,1569701374.824753,"[2.3239028520344096, 1.7634273855047278]","[7.931898125852288, 5.961514282808256, 8.451927672606077]"
3,1,1569701374.824753,"[18.954360317897, 3.871528694517361]","[18.625201302696585, 12.258339382915226, 9.742363002475704]"
3,2,1569701374.824753,"[8.916226481758358, 18.601815455923717]","[7.4460121680939935, 10.824791642380225, 19.018856544456753]"
1,3,1569701374.824753,"[2.3504848630420128, 11.832915666267507]","[10.028130522684362, 9.294347021988825, 17.163757772038114]"
1,1,1569701374.824753,"[16.177272575976488, 17.325141099523627]","[17.47045157656911, 2.970292327108426, 5.629185487533423]"
2,3,1569701374.824753,"[1.513542126721994, 13.201095283769167]","[11.79534380521208, 10.203801682132752, 1.6233572901556959]"
3,3,1569701374.824753,"[0.150224245420576, 10.658962547548256]","[4.030255529686877, 0.9981172815998596, 9.46736150117995]"
5,1,1569701374.824753,"[15.93432164440501, 2.2685777984607025]","[15.237773783973783, 17.40328353317242, 6.751495410909804]"
1,2,1569701374.824753,"[13.206722317250847, 12.215771281607537]","[10.68511213849911, 12.419344699165471, 3.6482369058793895]"
1,2,1569701374.824753,"[0.3272102650531239, 12.158931569886173]","[16.297521524623992, 15.201011793346586, 7.7882956000861885]"
3,3,1569701374.824753,"[4.898395957014774, 18.169303348543824]","[15.286634403042525, 0.567889459966946, 13.290859924162985]"
1,2,1569701374.824753,"[0.8184392707206056, 8.767971177324267]","[6.859828250256184, 6.394243866036495, 17.35658517004984]"
1,2,1569701374.824753,"[1.4433748394407409, 19.336446134349142]","[15.831943012669434, 2.322477022340761, 9.02213176724624]"
2,2,1569701374.824753,"[0.517882489997632, 5.407294021292857]","[2.2127156400388537, 1.0786285772476267, 17.306134737532183]"
5,3,1569701374.824753,"[0.2059226547755899, 11.15040752607535]","[2.490416467849237, 5.89622207671119, 14.335308067712404]"
4,1,1569701374.824753,"[6.221556610292598, 8.682177743089806]","[7.721871459120003, 10.5788243724759, 9.832690950302306]"
3,2,1569701374.824753,"[1.9904273294516583, 17.991646832599105]","[16.37677734658678, 10.433356610048357, 1.4287556149184377]"
3,3,1569701374.824753,"[3.9523817596196897, 9.94673942898447]","[7.400747011177402, 3.4374005907904714, 1.9670941032679679]"
3,1,1569701374.824753,"[19.19463151262169, 16.023762424853118]","[1.1010496447035245, 12.115280537617197, 3.3197518270804394]"
1,2,1569701374.824753,"[1.4027299299230434, 19.213056414603678]","[9.002968697832427, 3.5199365266967098, 18.964951353572793]"
2,3,1569701374.824753,"[9.090783394954196, 5.397485679848968]","[16.336364827285696, 2.057278071861437, 6.421330431809944]"
5,1,1569701374.824753,"[1.2919469712877896, 4.764319338210052]","[10.986725445315024, 5.982672746455833, 13.827524629042493]"
4,3,1569701374.824753,"[4.038842438915172, 11.807203121933664]","[14.426751118073378, 9.396213115681888, 8.476453257409482]"
2,1,1569701374.824753,"[9.762847238053379, 6.382133175147424]","[0.6083467827615663, 1.7617677924063524, 9.376037439929288]"
3,2,1569701374.824753,"[13.415749655892649, 17.27578432526968]","[5.856194666409809, 11.771225486199523, 6.924191532252337]"
3,2,1569701374.824753,"[13.788303839167087, 16.791922992447326]","[18.960561946469504, 5.889918729523773, 6.756099561393851]"
3,2,1569701374.824753,"[16.558374736193272, 14.208646099462975]","[12.51886097152749, 19.25730979757166, 5.6767970413457025]"
4,1,1569701374.824753,"[19.355605511246875, 9.931237277734507]","[5.1988723507046615, 8.171760671262358, 2.4162488230054002]"
4,2,1569701374.824753,"[15.011435897940808, 5.178446792867126]","[1.5144656130608136, 9.669791040270479, 14.622405239396807]"
4,3,1569701374.824753,"[13.84173981232257, 14.324303885948249]","[1.3834040631182898, 4.036801208427829, 17.845091955164577]"
4,1,1569701374.824753,"[17.441667500625744, 10.972022887560309]","[17.17567584814024, 18.247504140321887, 1.488588889338056]"
2,2,1569701374.824753,"[17.992387176675436, 7.144046890382619]","[13.890645342617539, 7.712986259184509, 3.585796876942551]"
3,3,1569701374.824753,"[7.2069603683764, 18.680557202364373]","[9.635535462442819, 12.742659513131056, 12.485528883255315]"
4,2,1569701374.824753,"[19.601367500182466, 5.672254452607497]","[17.47575945514725, 1.1505100005434077, 3.124760303791896]"
4,1,1569701374.824753,"[16.01601180127618, 12.503538077586025]","[5.749821548652331, 14.454178465817835, 0.9693189179271289]"
3,1,1569701374.824753,"[6.3921819849136625, 0.019815344481985964]","[2.2163887762865775, 7.358657214837434, 14.140308123534183]"
5,3,1569701374.824753,"[16.861790585851395, 13.861776141938279]","[18.910320876255803, 12.421837216207356, 6.4262495678743985]"
5,3,1569701374.824753,"[17.991143604185233, 1.6493730678434737]","[5.996482567955161, 0.7807087289095049, 13.998391466104733]"
1,1,1569701374.824753,"[16.96625536780457, 0.6089459786533014]","[15.749890473729732, 3.0368276773362, 14.257385422585916]"
1,2,1569701374.824753,"[4.860306528356193, 17.414130719531357]","[16.61227969642264, 1.2344978049754562, 14.808080213103878]"
5,2,1569701374.824753,"[15.82026926131955, 11.143062069945218]","[1.9835590610190978, 4.484810095965399, 0.8142502816773556]"
2,3,1569701374.824753,"[1.665875473956433, 6.13020885532724]","[11.334326482866206, 6.889709580619892, 13.0087343026571]"
3,3,1569701374.824753,"[7.7082603762957564, 1.2608701469253503]","[19.64197519401501, 7.792587471253514, 17.896824747394074]"
2,3,1569701374.824753,"[18.668724209289632, 0.22566217606073913]","[5.942746140207557, 1.6717847878652092, 1.8686345713424823]"
3,2,1569701374.824753,"[14.723492162708805, 13.358501379774431]","[5.882500969680535, 9.748040460945312, 7.309268033089744]"
5,1,1569701374.824753,"[15.96087326622132, 8.851745515988057]","[2.6825033642582663, 6.46116428792864, 11.372573167121946]"
5,1,1569701374.824753,"[5.858232902610803, 17.318736765314693]","[1.5399273576591166, 7.429242165095218, 0.8713098487092363]"
2,1,1569701374.824753,"[8.943361786814009, 17.776344838104997]","[3.9554996240119955, 3.6720360274738306, 14.731356290573931]"
2,3,1569701374.824753,"[11.882134469423685, 9.488486766747254]","[9.526585716406634, 4.489672362448429, 5.606320971854184]"
2,3,1569701374.824753,"[8.720081624180885, 4.25446278904708]","[3.7718908566465936, 6.282149653939346, 12.941070744756367]"
4,3,1569701374.824753,"[6.72149483543966, 1.2241357588482793]","[12.481064922445263, 13.210377988990913, 17.200614739596695]"
1,1,1569701374.824753,"[19.51422036094733, 4.15187536897397]","[4.92737773701621, 5.070317968076941, 5.865259433881144]"
1,2,1569701374.824753,"[14.362449551040093, 10.162693866179794]","[11.802518110729597, 2.2355593301423227, 1.5252394762316834]"
2,3,1569701374.824753,"[12.236627899420498, 14.009169345291646]","[12.49869093926274, 7.925802668207, 17.354062224762647]"
4,2,1569701374.824753,"[4.170178175183377, 16.875430153998927]","[19.995668107476874, 18.740358539471693, 19.748050304167386]"
4,3,1569701374.824753,"[9.257074677159533, 15.246431523109933]","[18.904791656424628, 2.0407125857431074, 18.32221196903888]"
2,1,1569701374.824753,"[17.114341560667352, 6.4026950657431865]","[9.650223241213068, 6.686019748513985, 4.798877787432865]"
2,3,1569701374.824753,"[3.629946078230164, 4.863228561012775]","[6.469107553946445, 5.899493924808478, 7.394166185610944]"
2,1,1569701374.824753,"[6.354938939419341, 17.178645135606]","[5.318364060330367, 6.226890378222221, 12.843099278554508]"
3,3,1569701374.824753,"[11.08945064310194, 13.311836978626772]","[3.402586807150445, 3.2171897577295927, 9.146226230680718]"
5,2,1569701374.824753,"[4.646763653090842, 14.803236805548991]","[9.15563136085937, 16.909322794600243, 0.1961553341497435]"
2,2,1569701374.824753,"[8.120975875573953, 1.8508499338309847]","[15.72041006348294, 19.103651869368573, 6.301355176459078]"
3,1,1569701374.824753,"[10.70317766743208, 18.0974222349676]","[11.624358183929889, 9.69672609023707, 4.642881444030145]"
2,2,1569701374.824753,"[12.637165418857865, 0.8083208772350603]","[8.966218932397796, 8.40546748154585, 16.51571647511119]"
3,2,1569701374.824753,"[10.577285078581827, 7.480369641380751]","[4.721047253475907, 7.584283193221857, 15.53595245029106]"
3,3,1569701374.824753,"[18.90441552085103, 7.451798991533593]","[0.6535540176839816, 18.203570465890685, 0.8573291025091789]"
